candidate_id,name,current_role,skills_endorsed
H025,Hired_25,Marketing Executive,"['Social Media', 'Content Writing', 'SEO']"
H026,Hired_26,HR Associate,"['Payroll', 'Recruitment', 'Communication']"
H027,Hired_27,Marketing Executive,"['Social Media', 'SEO', 'Canva']"
H028,Hired_28,Fashion Designer,"['Creativity', 'Fashion Sketching', 'Trend Analysis']"
H029,Hired_29,Trainer,"['Public Speaking', 'Presentation', 'Communication']"
H030,Hired_30,Business Development,"['Excel', 'Communication', 'Market Research']"
H031,Hired_31,HR Associate,"['Onboarding', 'Excel', 'Communication']"
H032,Hired_32,Marketing Executive,"['Canva', 'Google Ads', 'Social Media']"
H033,Hired_33,Marketing Executive,"['SEO', 'Content Writing', 'Google Ads']"
H034,Hired_34,Fashion Designer,"['Trend Analysis', 'Creativity', 'Fashion Sketching']"
H035,Hired_35,Data Analyst,"['Data Visualization', 'Power BI', 'SQL']"
H036,Hired_36,Python Developer,"['Django', 'Flask', 'Python']"
H037,Hired_37,Corporate Sales,"['B2B Sales', 'Client Management', 'Sales Strategy']"
H038,Hired_38,Sales Executive,"['MS Excel', 'Negotiation', 'Lead Generation']"
H039,Hired_39,Trainer,"['Presentation', 'Communication', 'Public Speaking']"
H040,Hired_40,Corporate Sales,"['Client Management', 'CRM', 'B2B Sales']"
H041,Hired_41,Fashion Designer,"['Creativity', 'Adobe Illustrator', 'Fashion Sketching']"
H042,Hired_42,Business Development,"['Negotiation', 'Market Research', 'Pitching']"
H043,Hired_43,Corporate Sales,"['B2B Sales', 'Sales Strategy', 'CRM']"
H044,Hired_44,HR Associate,"['Communication', 'Excel', 'Payroll']"
H045,Hired_45,Data Analyst,"['Data Visualization', 'Power BI', 'SQL']"
H046,Hired_46,Business Development,"['Pitching', 'Excel', 'Negotiation']"
H047,Hired_47,Sales Executive,"['Negotiation', 'Lead Generation', 'MS Excel']"
H048,Hired_48,Fashion Designer,"['Adobe Illustrator', 'Fashion Sketching', 'Trend Analysis']"
H049,Hired_49,Python Developer,"['Git', 'Python', 'PostgreSQL']"
H050,Hired_50,HR Associate,"['Payroll', 'Communication', 'Recruitment']"
H051,Hired_51,Python Developer,"['APIs', 'PostgreSQL', 'Git']"
H052,Hired_52,Trainer,"['Presentation', 'Communication', 'Public Speaking']"
H053,Hired_53,Trainer,"['Communication', 'Teaching', 'Presentation']"
H054,Hired_54,Corporate Sales,"['Client Management', 'B2B Sales', 'CRM']"
H055,Hired_55,Sales Executive,"['MS Excel', 'Salesforce', 'Lead Generation']"
H056,Hired_56,Trainer,"['Teaching', 'Communication', 'Public Speaking']"
H057,Hired_57,Sales Executive,"['CRM', 'Negotiation', 'Lead Generation']"
H058,Hired_58,HR Associate,"['Payroll', 'Excel', 'Communication']"
H059,Hired_59,Trainer,"['Presentation', 'Teaching', 'Public Speaking']"
H060,Hired_60,Corporate Sales,"['Client Management', 'B2B Sales', 'Sales Strategy']"
H061,Hired_61,Corporate Sales,"['Sales Strategy', 'CRM', 'Client Management']"
H062,Hired_62,Data Analyst,"['Excel', 'Data Visualization', 'SQL']"
H063,Hired_63,HR Associate,"['Recruitment', 'Excel', 'Payroll']"
H064,Hired_64,Python Developer,"['PostgreSQL', 'Django', 'Flask']"
H065,Hired_65,Business Development,"['Pitching', 'Excel', 'Negotiation']"
H066,Hired_66,Corporate Sales,"['B2B Sales', 'Client Management', 'CRM']"
H067,Hired_67,Fashion Designer,"['Fashion Sketching', 'Adobe Illustrator', 'Creativity']"
H068,Hired_68,HR Associate,"['Payroll', 'Excel', 'Onboarding']"
H069,Hired_69,Business Development,"['Communication', 'Market Research', 'Negotiation']"
H070,Hired_70,Python Developer,"['Python', 'PostgreSQL', 'Flask']"
H071,Hired_71,Fashion Designer,"['Fashion Sketching', 'Creativity', 'Trend Analysis']"
H072,Hired_72,Business Development,"['Communication', 'Market Research', 'Excel']"
H073,Hired_73,Marketing Executive,"['Content Writing', 'Canva', 'SEO']"
H074,Hired_74,Corporate Sales,"['CRM', 'Client Management', 'Sales Strategy']"
H075,Hired_75,Marketing Executive,"['Canva', 'Social Media', 'Google Ads']"
H076,Hired_76,Marketing Executive,"['Content Writing', 'Social Media', 'Canva']"
H077,Hired_77,Fashion Designer,"['Creativity', 'Adobe Illustrator', 'Fashion Sketching']"
H078,Hired_78,Fashion Designer,"['Trend Analysis', 'Adobe Illustrator', 'Fashion Sketching']"
H079,Hired_79,Data Analyst,"['SQL', 'Power BI', 'Python']"
H080,Hired_80,Fashion Designer,"['Trend Analysis', 'Creativity', 'Adobe Illustrator']"
H081,Hired_81,Fashion Designer,"['Fashion Sketching', 'Trend Analysis', 'Adobe Illustrator']"
H082,Hired_82,Python Developer,"['APIs', 'Python', 'Git']"
H083,Hired_83,Business Development,"['Negotiation', 'Communication', 'Market Research']"
H084,Hired_84,Fashion Designer,"['Creativity', 'Trend Analysis', 'Fashion Sketching']"
H085,Hired_85,Data Analyst,"['Power BI', 'Excel', 'Data Visualization']"
H086,Hired_86,HR Associate,"['Communication', 'Onboarding', 'Recruitment']"
H087,Hired_87,Marketing Executive,"['Google Ads', 'Social Media', 'Content Writing']"
H088,Hired_88,Business Development,"['Communication', 'Pitching', 'Negotiation']"
H089,Hired_89,Business Development,"['Communication', 'Pitching', 'Negotiation']"
H090,Hired_90,Python Developer,"['PostgreSQL', 'Git', 'Python']"
H091,Hired_91,HR Associate,"['Communication', 'Onboarding', 'Excel']"
H092,Hired_92,Business Development,"['Pitching', 'Communication', 'Excel']"
H093,Hired_93,Business Development,"['Pitching', 'Excel', 'Negotiation']"
H094,Hired_94,Sales Executive,"['MS Excel', 'Negotiation', 'Lead Generation']"
H095,Hired_95,Fashion Designer,"['Adobe Illustrator', 'Fashion Sketching', 'Creativity']"
H096,Hired_96,Sales Executive,"['MS Excel', 'Salesforce', 'Lead Generation']"
H097,Hired_97,Python Developer,"['Flask', 'Git', 'Python']"
H098,Hired_98,Marketing Executive,"['SEO', 'Canva', 'Google Ads']"
H099,Hired_99,Fashion Designer,"['Creativity', 'Trend Analysis', 'Adobe Illustrator']"
H100,Hired_100,Marketing Executive,"['Google Ads', 'SEO', 'Social Media']"
